return_id,month,customer_id,product_id,item_price,return_reason,customer_returns_90d,customer_orders_90d,prior_abuse_flags,product_defect_rate,days_since_delivery,damaged_claim,resale_value
R10001,2026-04,C101,P1003,1599,Size issue,5,7,0,0.209,8,0,1349.37
R10002,2026-01,C118,P1001,2499,Size issue,0,7,0,0.147,5,0,2146.59
R10003,2026-05,C117,P1005,2499,Not as described,0,1,0,0.217,20,0,1317.27
R10004,2026-07,C110,P1002,1299,Not as described,4,10,0,0.106,6,0,730.54
R10005,2026-06,C114,P1004,3499,Defective item,2,8,0,0.203,17,1,2414.59
R10006,2026-02,C117,P1003,3499,Wrong item received,0,2,0,0.058,23,0,2269.73
R10007,2026-08,C102,P1005,6999,Size issue,2,6,1,0.157,31,1,6004.25
R10008,2026-06,C100,P1001,4999,Wrong item received,2,12,0,0.248,30,0,4173.25
R10009,2026-08,C102,P1004,2199,Changed mind,0,3,0,0.07,20,1,1405.51
R10010,2026-06,C112,P1002,2499,Defective item,4,7,0,0.051,29,0,1905.63
R10011,2026-05,C100,P1002,1599,Not as described,0,2,0,0.171,2,0,884.15
R10012,2026-01,C114,P1002,2499,Not as described,2,9,0,0.093,10,0,2149.36
R10013,2026-08,C105,P1005,2499,Size issue,3,7,0,0.131,27,1,2183.79
R10014,2026-02,C106,P1001,2199,Defective item,0,10,0,0.15,36,1,1595.36
R10015,2026-08,C115,P1005,2499,Wrong item received,2,3,3,0.159,32,1,2192.23
R10016,2026-04,C116,P1004,2199,Changed mind,0,2,0,0.099,18,0,1509.69
R10017,2026-05,C116,P1003,1599,Size issue,4,12,2,0.194,21,0,1212.81
R10018,2026-04,C107,P1003,1599,Not as described,1,6,0,0.199,23,0,1286.56
R10019,2026-04,C111,P1004,4999,Defective item,1,4,0,0.102,3,0,3343.81
R10020,2026-04,C115,P1004,6999,Wrong item received,2,12,3,0.104,16,1,3910.22
R10021,2026-04,C115,P1005,3499,Size issue,1,1,2,0.099,7,0,2952.84
R10022,2026-03,C104,P1002,2499,Size issue,2,11,0,0.238,27,0,1924.03
R10023,2026-03,C100,P1001,1599,Defective item,3,10,1,0.054,32,0,867.24
R10024,2026-04,C100,P1001,6999,Changed mind,5,12,0,0.192,10,0,5672.42
R10025,2026-06,C114,P1003,1599,Changed mind,4,5,0,0.155,18,0,806.47
R10026,2026-08,C105,P1005,6999,Not as described,3,9,1,0.222,10,0,4788.85
R10027,2026-08,C103,P1005,1299,Defective item,1,3,0,0.162,9,0,978.06
R10028,2026-02,C114,P1005,1299,Size issue,1,4,0,0.198,34,0,1018.41
R10029,2026-04,C116,P1003,3499,Wrong item received,4,9,0,0.179,30,0,2390.17
R10030,2026-04,C109,P1003,3499,Changed mind,3,4,0,0.048,30,0,2279.02
R10031,2026-08,C105,P1001,6999,Size issue,2,3,0,0.223,31,0,4474.48
R10032,2026-06,C100,P1002,1599,Defective item,3,12,4,0.113,28,0,826.49
R10033,2026-02,C107,P1003,3499,Not as described,3,8,1,0.108,35,0,3024.22
R10034,2026-05,C112,P1001,1299,Wrong item received,2,5,0,0.199,19,0,1064.97
R10035,2026-02,C108,P1002,3499,Changed mind,4,9,0,0.095,19,1,2274.79
R10036,2026-06,C117,P1001,4999,Size issue,1,2,0,0.217,6,0,3306.89
R10037,2026-04,C109,P1004,2199,Defective item,1,10,0,0.183,9,0,1099.83
R10038,2026-01,C100,P1003,3499,Size issue,2,4,0,0.175,19,0,3071.42
R10039,2026-07,C115,P1001,4999,Size issue,4,9,3,0.138,17,0,3715.9
R10040,2026-06,C101,P1005,6999,Changed mind,4,7,0,0.069,16,0,4492.51
R10041,2026-05,C107,P1002,1299,Wrong item received,2,2,1,0.079,12,1,1075.85
R10042,2026-06,C107,P1003,1299,Defective item,1,8,0,0.123,18,0,1128.89
R10043,2026-04,C116,P1001,2199,Not as described,2,4,0,0.097,7,0,1632.55
R10044,2026-02,C118,P1001,1299,Defective item,0,5,0,0.155,27,1,950.7
R10045,2026-01,C116,P1005,6999,Not as described,3,3,1,0.186,33,0,5160.28
R10046,2026-04,C102,P1004,4999,Size issue,4,12,0,0.14,34,0,4052.01
R10047,2026-04,C115,P1001,1299,Size issue,2,3,3,0.107,30,0,948.91
R10048,2026-08,C108,P1003,1299,Not as described,0,8,1,0.136,36,1,657.84
